"listener","run","combine","chunks","Freq1","Freq2","Freq3","Freq4","Freq5","rms"
"L11","1","sub","8","0.04125611","0.03568013","0.024914706","0.017589047","0.012972639","0.0544256"
"L11","1","sub","9","0.04031129","0.03309832","0.021398468","0.015707987","0.012036851","0.0511123"
"L11","1","sub","10","0.03806924","0.03188227","0.022496929","0.016728429","0.012565296","0.0502761"
"L11","1","sub","11","0.035637268","0.027842639","0.020010489","0.014980641","0.011556173","0.0463207"
"L11","1","sub","12","0.03601622","0.027351394","0.018936592","0.013763892","0.010991052","0.0455117"
"L11","1","sub","13","0.032062565","0.023102762","0.0164979545","0.012357215","0.010450387","0.0408802"
"L11","1","sub","14","0.03563526","0.026518541","0.018765302","0.014077207","0.011131906","0.0453708"
"L11","1","sub","15","0.03290329","0.025353672","0.017157543","0.0126325603","0.010251369","0.0424682"
"L12","1","sub","1","0.0386276","0.029248743","0.02039608","0.014208304","0.01146232","0.0479134"
"L12","1","sub","2","0.034112176","0.026558463","0.018594589","0.013224192","0.010284664","0.0439474"
"L12","1","sub","3","0.02821193","0.022521589","0.015494761","0.011831366","0.009894064","0.0379985"
"L12","1","sub","4","0.02911966","0.024359506","0.01708033","0.012601099","0.01046147","0.0400264"
"L12","1","sub","5","0.028311064","0.022079341","0.016088137","0.012053646","0.010007802","0.0382417"
"L12","1","sub","6","0.02922821","0.02491751","0.016972818","0.011905192","0.010210464","0.0400494"
"L12","1","sub","7","0.025630183","0.02205717","0.014743183","0.011585718","0.01013986","0.0365755"
"L12","1","sub","8","0.027568131","0.022732363","0.015358993","0.011407026","0.009834121","0.037757"
"L12","1","sub","9","0.02739907","0.02298173","0.01556559","0.011750619","0.009812936","0.037881"
"L12","1","sub","10","0.023552613","0.019648779","0.013564012","0.01084616","0.0093916822","0.034342"
"L12","1","sub","11","0.02381509","0.017779908","0.013183615","0.010533171","0.009462667","0.033507"
"L12","1","sub","12","0.02394303","0.019161951","0.013779603","0.0109417753","0.009933434","0.0342672"
"L12","1","sub","13","0.02326045","0.019406839","0.013643022","0.010673547","0.009612839","0.0340269"
"L12","1","sub","14","0.023358686","0.01865869","0.012788383","0.010358506","0.009544974","0.0335035"
"L12","1","sub","15","0.02525055","0.0197782118","0.014344661","0.010808901","0.009343705","0.0349917"
"L13","1","sub","1","0.0405426","0.036451847","0.026109742","0.01865345","0.014387718","0.0550901"
"L13","1","sub","2","0.038420063","0.032045795","0.023923409","0.016972915","0.013130805","0.0511961"
"L13","1","sub","3","0.04026186","0.03309158","0.023583628","0.017081413","0.013400377","0.0521841"
"L13","1","sub","4","0.03928131","0.03294956","0.024392645","0.017346811","0.013081759","0.0521873"
"L13","1","sub","5","0.039231305","0.030907971","0.0231999","0.01700595","0.013755162","0.0509728"
"L13","1","sub","6","0.039004434","0.032179507","0.02290256","0.0162965","0.013407751","0.0510457"
"L13","1","sub","7","0.038382917","0.031489051","0.022380378","0.016450971","0.012996531","0.0503385"
"L13","1","sub","8","0.03763283","0.030973877","0.022930801","0.01646528","0.013078721","0.0500144"
"L13","1","sub","9","0.0359155","0.02973483","0.022274972","0.016098042","0.012691522","0.0481813"
"L13","1","sub","10","0.034973806","0.02828304","0.020059598","0.015266873","0.012357886","0.0462081"
"L13","1","sub","11","0.03622215","0.028979866","0.021245979","0.015994068","0.012306565","0.0476298"
"L13","1","sub","12","0.03627139","0.029742818","0.020731984","0.015984782","0.012484544","0.0477541"
"L13","1","sub","13","0.03432332","0.027190373","0.020247558","0.014788649","0.011835851","0.0453926"
"L13","1","sub","14","0.03463387","0.026556145","0.019127305","0.014797177","0.011805984","0.0451226"
"L13","1","sub","15","0.03630363","0.0280466","0.020245515","0.015144116","0.01213294","0.046778"
"L14","1","sub","1","0.03138879","0.024720373","0.017461745","0.012461434","0.010219706","0.0413916"
"L14","1","sub","2","0.031737287","0.02476537","0.01769283","0.0129243255","0.010627694","0.0419275"
"L14","1","sub","3","0.03066321","0.024392642","0.017586945","0.013074568","0.010915694","0.041466"
"L14","1","sub","4","0.032056304","0.027292036","0.018640579","0.013731829","0.011001038","0.0437981"
"L14","1","sub","5","0.036063318","0.02834724","0.019625787","0.013954205","0.012038031","0.0465977"
"L14","1","sub","6","0.031454117","0.024839978","0.017858284","0.013295744","0.011072911","0.0421881"
"L14","1","sub","7","0.035166423","0.029617669","0.0199985415","0.014496492","0.011779126","0.0468161"
"L14","1","sub","8","0.035667746","0.02944593","0.020003911","0.014403313","0.01150691","0.0465061"
"L14","1","sub","9","0.03599628","0.02818303","0.019674827","0.013973221","0.011315043","0.0461473"
"L14","1","sub","10","0.04002016","0.03132864","0.0232712171","0.015459554","0.012280006","0.0508996"
"L14","1","sub","11","0.037220597","0.02927725","0.021471696","0.014924207","0.011476778","0.0479722"
"L14","1","sub","12","0.032043214","0.02580656","0.01902061","0.013834163","0.011070285","0.0431211"
"L14","1","sub","13","0.03400398","0.027989193","0.019687305","0.013868403","0.011564792","0.0452986"
"L14","1","sub","14","0.03438662","0.02739691","0.019134817","0.013952278","0.01126413","0.0447876"
"L14","1","sub","15","0.03208457","0.025946466","0.018531761","0.013531623","0.01064078","0.0426509"
"L15","1","sub","1","0.051080253","0.04107563","0.02818303","0.018427095","0.013819284","0.0626029"
"L15","1","sub","2","0.04613653","0.03810003","0.025857472","0.017767986","0.012855974","0.0580014"
"L15","1","sub","3","0.04732061","0.038194517","0.02624686","0.01794914","0.013561825","0.0585563"
"L15","1","sub","4","0.04790903","0.03879261","0.026058265","0.018157056","0.013283088","0.0594539"
"L15","1","sub","5","0.04795201","0.03700259","0.024859488","0.017216184","0.012804936","0.0577559"
"L15","1","sub","6","0.04709682","0.03792313","0.02497726","0.017298385","0.012672023","0.0578079"
